timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/28 02:12:17.070, 0, 0, 37.59
2024/12/28 02:12:18.070, 0, 0, 37.63
2024/12/28 02:12:19.070, 0, 0, 37.59
2024/12/28 02:12:20.071, 0, 0, 37.79
2024/12/28 02:12:21.071, 0, 0, 37.69
2024/12/28 02:12:22.071, 0, 0, 37.87
2024/12/28 02:12:23.071, 0, 0, 37.89
2024/12/28 02:12:24.071, 0, 0, 37.57
2024/12/28 02:12:25.071, 0, 0, 37.59
2024/12/28 02:12:26.071, 0, 0, 37.40
2024/12/28 02:12:27.072, 0, 0, 37.69
2024/12/28 02:12:28.072, 0, 0, 37.30
2024/12/28 02:12:29.072, 0, 0, 37.30
2024/12/28 02:12:30.072, 0, 0, 37.69
2024/12/28 02:12:31.072, 0, 0, 37.49
2024/12/28 02:12:32.072, 0, 0, 37.18
2024/12/28 02:12:33.072, 0, 0, 37.78
2024/12/28 02:12:34.073, 0, 0, 37.30
2024/12/28 02:12:35.073, 0, 0, 37.19
2024/12/28 02:12:36.073, 0, 0, 37.86
2024/12/28 02:12:37.073, 0, 0, 37.40
2024/12/28 02:12:38.073, 0, 0, 37.29
2024/12/28 02:12:39.073, 0, 0, 37.69
2024/12/28 02:12:40.073, 0, 0, 37.49
2024/12/28 02:12:41.073, 0, 0, 37.31
2024/12/28 02:12:42.073, 0, 0, 37.21
2024/12/28 02:12:43.074, 0, 0, 37.39
2024/12/28 02:12:44.074, 0, 61, 37.76
2024/12/28 02:12:45.074, 0, 58, 38.38
2024/12/28 02:12:46.074, 0, 21, 37.57
2024/12/28 02:12:47.074, 0, 0, 37.20
2024/12/28 02:12:48.074, 0, 0, 37.20
2024/12/28 02:12:49.074, 0, 0, 37.49
2024/12/28 02:12:50.075, 0, 0, 37.68
2024/12/28 02:12:51.075, 0, 0, 36.99
2024/12/28 02:12:52.075, 0, 0, 37.39
2024/12/28 02:12:53.075, 0, 0, 37.49
2024/12/28 02:12:54.075, 0, 0, 37.46
2024/12/28 02:12:55.076, 0, 0, 36.82
2024/12/28 02:12:56.076, 0, 0, 37.36
2024/12/28 02:12:57.076, 0, 0, 37.08
2024/12/28 02:12:58.076, 0, 0, 37.28
2024/12/28 02:12:59.077, 0, 0, 37.09
2024/12/28 02:13:00.077, 0, 0, 37.28
2024/12/28 02:13:01.077, 0, 0, 36.98
2024/12/28 02:13:02.077, 0, 0, 37.20
2024/12/28 02:13:03.077, 0, 0, 37.39
